image_id,preprocess_ms,forward_ms,post_ms,total_ms
22755,3.33,1803.99,0.17,1810.75
22892,2.29,1764.67,0.16,1769.21
22935,3.7,1805.64,0.16,1812.71
22969,2.58,2680.36,0.19,2685.87
23023,4.13,2350.54,0.2,2357.85
23034,3.23,3395.28,0.35,3402.96
23126,3.19,1807.51,0.18,1813.13
23230,3.36,2303.08,0.2,2311.88
23272,2.87,2603.44,0.19,2609.58
23359,3.17,1847.15,0.18,1852.51
23666,3.33,2349.61,0.2,2356.2
23751,3.25,2763.74,0.16,2770.1
23781,3.01,2106.96,0.18,2113.16
23899,3.02,2222.77,0.18,2228.63
23937,3.01,1890.66,0.16,1897.17
24021,2.95,1815.19,0.19,1820.52
24027,2.55,2056.68,0.16,2061.46
24144,3.26,2064.34,0.17,2072.56
24243,3.3,3392.79,0.2,3400.64
24567,3.96,2139.45,0.17,2147.46
24610,3.31,1846.88,0.17,1853.2
24919,3.01,2269.76,0.17,2276.25
25057,3.07,3390.7,0.18,3397.19
25096,2.61,2401.99,0.17,2407.07
25139,2.41,2100.26,0.17,2105.17
25181,3.15,1812.32,0.18,1818.28
25228,3.11,2596.04,0.18,2602.65
25386,3.17,3359.33,0.19,3366.08
25393,3.35,2976.82,0.33,2983.67
25394,3.52,1893.72,0.2,1900.89
25424,3.95,1850.76,0.19,1858.06
25560,3.48,2018.88,0.19,2025.42
25593,3.46,1979.4,0.19,1987.96
25603,3.46,3187.18,0.22,3194.85
25986,3.4,2142.94,0.19,2150.11
26204,3.19,2225.35,0.2,2232.42
26465,2.68,3399.98,0.22,3405.09
26564,3.18,2602.18,0.19,2608.12
26690,3.38,3400.13,0.23,3407.19
26926,3.39,2815.6,0.23,2822.14
26941,3.48,1852.02,0.19,1859.4
27186,3.22,2815.6,0.22,2821.35
27620,3.5,2264.47,0.18,2271.27
27696,3.16,3397.83,0.21,3404.49
27768,5.04,2015.4,0.18,2024.44
27932,2.09,1859.02,0.18,1862.94
27972,3.19,1806.75,0.18,1813.52
27982,2.45,1806.64,0.19,1811.18
28285,3.2,1852.65,0.17,1859.83
28449,3.17,2097.61,0.19,2104.11
28452,3.54,2519.43,0.2,2527.03
28809,2.83,1978.32,0.24,1984.61
28993,3.45,1768.28,0.18,1776.38
29187,2.95,3407.68,0.23,3415.29
29393,2.42,3401.63,0.36,3407.19
29397,2.86,1937.27,0.2,1944.03
29596,2.6,3313.44,0.2,3319.31
29640,2.83,1761.65,0.19,1768.87
29675,2.69,1932.33,0.18,1938.78
29984,2.83,2641.05,0.2,2647.62
30213,2.53,1843.16,0.16,1849.74
30494,2.63,2103.04,0.19,2109.53
30504,2.81,2178.99,0.17,2185.86
30675,2.22,2471.7,0.19,2477.49
30785,2.74,1971.2,0.16,1977.89
30828,2.39,1933.06,0.17,1938.81
31050,2.65,2552.07,0.18,2558.32
31093,2.44,2222.77,0.18,2228.32
31118,2.52,1925.08,0.17,1931.29
31217,2.4,3395.9,0.21,3401.88
31248,1.98,1931.06,0.16,1935.26
31269,3.77,1974.88,0.15,1984.29
31296,2.43,1976.82,0.16,1982.85
31322,2.48,1847.63,0.15,1854.27
31620,2.68,2308.9,0.18,2314.73
31735,3.04,1887.96,0.15,1894.58
31749,3.43,1888.19,0.15,1896.81
31817,2.33,2679.05,0.19,2684.6
32038,2.05,2178.34,0.16,2182.57
32081,2.54,2930.74,0.2,2936.31
32285,2.74,1931.01,0.15,1936.55
