image_id,preprocess_ms,forward_ms,post_ms,total_ms
50165,3.69,1468.71,0.16,1476.1
50326,3.07,1872.11,0.24,1877.16
50331,4.28,1436.13,0.17,1444.03
50380,3.61,2003.31,0.37,2010.39
50638,4.0,1736.23,0.21,1743.98
50679,3.63,1972.14,0.23,1978.44
50811,4.64,1799.47,0.2,1808.13
50828,3.93,1437.68,0.18,1444.76
50844,3.09,1741.12,0.22,1747.28
50896,5.31,2045.54,0.22,2055.98
50943,3.18,1837.3,0.21,1843.01
51008,4.5,1715.64,0.21,1723.56
51309,3.43,1941.65,0.21,1948.98
51314,5.11,1607.47,0.17,1616.5
51326,3.72,1714.79,0.21,1722.35
51598,3.75,1539.17,0.18,1545.45
51610,3.61,1638.7,0.19,1644.58
51712,3.43,1585.67,0.19,1592.6
51738,3.15,1537.64,0.18,1543.11
51938,3.89,1572.33,0.18,1579.57
51961,3.85,1578.1,0.23,1585.64
51976,3.7,2002.73,0.18,2010.31
52007,3.98,1606.56,0.17,1614.74
52017,3.6,1747.11,0.19,1753.49
52412,3.74,1542.31,0.18,1549.74
52413,3.08,1539.39,0.18,1544.97
52462,3.64,1608.06,0.19,1615.24
52507,3.84,1440.01,0.18,1447.84
52565,3.85,1605.38,0.17,1611.9
52591,3.55,1473.55,0.19,1479.65
52891,3.77,2330.9,0.2,2337.98
52996,3.97,1668.36,0.19,1675.65
53505,3.89,1548.52,0.18,1555.32
53529,3.06,1736.4,0.17,1741.9
53624,3.63,1600.45,0.17,1607.79
53626,3.88,1704.08,0.2,1711.65
53909,4.1,1572.25,0.17,1579.73
53994,4.14,1703.4,0.18,1711.53
54123,3.75,1441.71,0.18,1449.67
54164,3.75,2070.62,0.24,2077.42
54592,3.96,1602.6,0.17,1609.29
54593,3.64,1811.18,0.34,1819.16
54605,5.09,2203.61,0.25,2212.6
54628,3.24,1709.39,0.23,1715.47
54654,3.93,1835.09,0.21,1842.64
54931,3.89,1839.02,0.2,1846.62
54967,3.81,1552.25,0.21,1559.21
55002,3.22,1537.67,0.2,1543.64
55022,4.07,1799.53,0.21,1807.5
55072,3.71,1607.32,0.2,1614.73
55150,3.78,1609.74,0.23,1617.06
55167,4.12,1705.89,0.18,1713.83
55299,4.23,1441.58,0.21,1448.84
55528,4.01,1506.22,0.19,1513.29
55950,3.86,1604.42,0.17,1611.9
56127,5.08,1445.96,0.18,1455.47
56288,3.95,1583.69,0.2,1590.92
56344,3.99,1903.69,0.18,1910.5
56350,4.52,1538.55,0.17,1546.4
56545,4.77,1805.05,0.2,1813.57
